FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,wkb_geometry
trafiktaelling.369,867,Folehaven / Sønderkær,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120621,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/uEMOlirSUR.pdf,,,,,,,,POINT (12.486673286114975 55.652705597321166)
trafiktaelling.370,868,Borgervænget / Bellmansgade,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20110823,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5inY9pBbIE.pdf,,,,,,,,POINT (12.573245567371654 55.71666138704494)
trafiktaelling.371,869,Øster Allé / Edel Sauntes Allé,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20110825,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/yxuiJYupgl.pdf,,,,,,,,POINT (12.565939397903227 55.70475475905165)
trafiktaelling.372,870,Øster Allé / Per Henrik Lings Allé,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20110825,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ubQ7afI1n3.pdf,,,,,,,,POINT (12.569954127523399 55.70264046260358)
trafiktaelling.373,871,Gyldenløvesgade / Rosenørns Allé,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20111011,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/OUNYXeVbWI.pdf,,,,,,,,POINT (12.557797292914817 55.68201741725632)
trafiktaelling.374,872,Dybbølsbro / Kalvebod Brygge,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20110927,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/TDklQhQZal.pdf,,,,,,,,POINT (12.561405909035706 55.6632500042144)
trafiktaelling.375,873,Arresøgade,øst for Refsnæsgade,9,100,Øvrige tællinger,300,"2,6",400,400,400,,400,500,,,,,,,,,,,20111010,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/7AZa0G7qXd.pdf,2.5999999,,,,,,,POINT (12.556191146906142 55.697186644663866)
trafiktaelling.376,874,Faksegade,nord for Rosenvængets Allé,6,100,Øvrige tællinger,600,"2,7",700,800,500,,500,600,,,,,,,,,,,20110112,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UF2qXqiaq9.pdf,2.70000005,,,,,,,POINT (12.581020593388711 55.69963534468381)
trafiktaelling.377,875,Islands Brygge,nordøst for Njalsgade,17,100,Øvrige tællinger,4600,"2,5",5400,6000,,,,,,,,,,,,,,,20111117,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/v55UVolnGp.pdf,2.5,,,,,,,POINT (12.577631098448036 55.66748399218607)
trafiktaelling.378,876,Strandboulevarden,vest for Svendborggade,132,100,Øvrige tællinger,14016,"5,2",16400,18400,4384,"1,7",4500,5300,,,,,,,,,,,20170905,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/c8Rjpl2eL5.pdf,5.19999981,1.70000005,434,,,,,POINT (12.582833204107986 55.70919162374548)
trafiktaelling.379,877,Tuborgvej,vest for Strandvejen,7,100,Øvrige tællinger,13876,"3,1",16200,18200,2560,"2,9",2600,3100,,,,,,,,,,,20180503,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/didZZ5eGnc.pdf,3.0999999,2.9000001,267,,,,,POINT (12.57503118345728 55.72672150608358)
trafiktaelling.380,878,Grøndalsvænge Allé,nordøst for Godthåbsvej,72,100,Øvrige tællinger,500,"0,8",600,700,1400,,1400,1700,,,,,,,,,,,20101117,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/DsRxGQgBfv.pdf,0.80000001,,,,,,,POINT (12.516238823575375 55.69138984194462)
trafiktaelling.381,879,Bygrænsen / Glamsbjergvej,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20101004,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/HHdEiCegtq.pdf,,,,,,,,POINT (12.59585518929789 55.63795254239573)
trafiktaelling.382,880,Østbanegade / Tunnel til Kalkbrænderigade,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20101006,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/cXZlJKjRxP.pdf,,,,,,,,POINT (12.59104266842719 55.70350748669557)
trafiktaelling.383,881,Gothersgade,nordvest for Adelgade,52,100,Øvrige tællinger,3400,"9,4",4000,4500,7100,"1,5",7300,8700,,,,,,,,,,,20130910,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/DSf02Vgrf7.pdf,9.39999962,1.5,,,,,,POINT (12.581701777785142 55.682404156326946)
trafiktaelling.384,882,Jagtvej,sydvest for Ydunsgade,137,100,Øvrige tællinger,17013,"2,9",19900,22300,10896,"2,2",11200,13300,,,,,,,,,,,20190910,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ud42OtwUUP.pdf,2.9000001,2.20000005,214,"1,3",84,"0,8",19,POINT (12.553231789688152 55.69825734515751)
trafiktaelling.385,883,H.C. Andersens Boulevard,sydøst for Bag Rådhuset,23,100,Øvrige tællinger,47456,"3,9",55500,62200,21345,"2,1",22000,26000,,,,,,,,,,,20190926,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/q2DCuaTPJh.pdf,3.9000001,2.0999999,1153,"2,4",220,"1,0",301,POINT (12.570965051983404 55.67421924045831)
trafiktaelling.386,884,Cykelrute,øst for Artillerivej,,100,Øvrige tællinger,,,,,3784,"1,7",3900,4600,147,200,200,,,,,,,200,20180515,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/hAOgqhZhmD.pdf,,1.70000005,0,,,,,POINT (12.564870642192172 55.64191001304144)
trafiktaelling.387,885,Cykelruten ved Sjællandsbroen / Ved Slusen,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090917,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/4smvX9tSER.pdf,,,,,,,,POINT (12.555083998905646 55.64205058191257)
trafiktaelling.388,886,Sluseholmen / Sjællandsbroen,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20190910,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/zGJGx4Kolq.pdf,,,,,,,,POINT (12.545439647175591 55.64367121155379)
trafiktaelling.389,887,Carl Jacobsens Vej / Trekronergade,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090526,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/eI65aQuEmR.pdf,,,,,,,,POINT (12.520437218398612 55.65292316269098)
trafiktaelling.390,888,Ellebjergvej / Sjælør Boulevard,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090101,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Xg4xDjkg3Q.pdf,,,,,,,,POINT (12.527975276456681 55.65017244686415)
trafiktaelling.391,889,Folehaven / Gammel Køge Landevej,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20160830,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/p5cPBEssw9.pdf,,,,,,,,POINT (12.50782245541318 55.6506502353536)
trafiktaelling.392,890,Folehaven / Retortvej,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090101,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/3GlijQTGTq.pdf,,,,,,,,POINT (12.503032566431292 55.651084201856655)
trafiktaelling.393,891,Grøndals Parkvej / Jernbane Allé,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20160907,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/uf31fcznQn.pdf,,,,,,,,POINT (12.493567034277987 55.68387902161854)
trafiktaelling.394,892,Grøndals Parkvej / Flintholm st,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090318,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gznv1IZR9c.pdf,,,,,,,,POINT (12.498681754801217 55.68638406258022)
