name,lat,lng,type
Isabella Pedersen,55.6612664,12.6067067,"['school', 'health', 'point_of_interest', 'establishment']"
Den Integrerede Institution Legehjørnet,55.661495,12.605444,"['school', 'point_of_interest', 'establishment']"
Shiny Day,55.6623324,12.6084496,"['point_of_interest', 'establishment']"
Søernes ApS Maler i københavn,55.6617118,12.6036997,"['painter', 'point_of_interest', 'establishment']"
Only,55.6628435,12.6050795,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
CHANGE Lingerie,55.66282930000001,12.604936,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Tjener.dk,55.6624002,12.6066979,"['point_of_interest', 'establishment']"
Sisyfos Technologies,55.662332,12.6054099,"['point_of_interest', 'establishment']"
Oldager Sko,55.66293049999999,12.6046184,"['shoe_store', 'point_of_interest', 'store', 'establishment']"
Erik Schaadt,55.662203,12.60613,"['point_of_interest', 'establishment']"
Casper Christoffersen Photography,55.662064,12.607485,"['point_of_interest', 'establishment']"
Irene Kold,55.662273,12.605262,"['point_of_interest', 'establishment']"
Laura,55.6625314,12.6047093,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Different Angle / Walkingboard,55.662371,12.607132,"['point_of_interest', 'establishment']"
Dot Severine Nielsen,55.66273229999999,12.607691,"['point_of_interest', 'establishment']"
Intersport,55.6625573,12.6044718,"['point_of_interest', 'store', 'establishment']"
Sofie Hviid,55.6624423,12.6077911,"['point_of_interest', 'establishment']"
Bog & idé Amager Centret,55.6626953,12.6040775,"['book_store', 'point_of_interest', 'store', 'establishment']"
Firstdisplay,55.662014,12.607051,"['point_of_interest', 'establishment']"
København Son Taekwondo,55.662147,12.607397,"['health', 'point_of_interest', 'establishment']"
Moda Holding ApS,55.6626104,12.6040737,"['point_of_interest', 'establishment']"
Amagerhylden,55.6626104,12.6040737,"['bar', 'point_of_interest', 'establishment']"
Gør det selv shop - Butik 132,55.6626104,12.6040737,"['hardware_store', 'point_of_interest', 'store', 'establishment']"
name it,55.6626104,12.6040737,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
"Arca - ""Boxen""",55.6604975,12.6083675,"['gym', 'health', 'point_of_interest', 'establishment']"
Netcorp (Kurt Samson),55.66236600000001,12.608231,"['point_of_interest', 'establishment']"
Amager Undervandsrugby Klub,55.6629342,12.6100678,"['point_of_interest', 'establishment']"
Vinther Roads v / Søren Vinther Knudsen,55.6620463,12.6081048,"['point_of_interest', 'establishment']"
snakbar,55.66254559999999,12.608868,"['point_of_interest', 'establishment']"
DNW-Solutions,55.66187499999999,12.608724,"['point_of_interest', 'establishment']"
Sundby Asyl,55.6611314,12.6063956,"['point_of_interest', 'establishment']"
Den Selvejende Institution Hovedhuset,55.66181479999999,12.6103845,"['point_of_interest', 'establishment']"
Røde Møllegaards Børnehave,55.66065219999999,12.6097239,"['school', 'point_of_interest', 'establishment']"
Sundby Taekwondo Klub,55.66035439999999,12.6078799,"['health', 'point_of_interest', 'establishment']"
Sundby Industrigaard I/S Lyonsgade 21-25 Wittenberggade 45,55.6609647,12.609419,"['point_of_interest', 'establishment']"
Vietnam Supermarked,55.6611664,12.60699,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Cykelthomas v/Thomas Raage,55.6610713,12.6067465,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']"
Fitness World,55.6614083,12.6099529,"['gym', 'health', 'point_of_interest', 'establishment']"
Air Store ApS,55.6610823,12.6096326,"['point_of_interest', 'establishment']"
Sundby KFUM og KFUK,55.6614113,12.6053166,"['point_of_interest', 'establishment']"
Københavns Kommune,55.6609647,12.609419,"['local_government_office', 'point_of_interest', 'establishment']"
De Danske Vægtkonsulenter,55.6609647,12.609419,"['point_of_interest', 'establishment']"
Sundhedsplejen Område Amager,55.6609647,12.609419,"['point_of_interest', 'establishment']"
Fakta,55.661976,12.6103977,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Børnehaven Nordstjernen,55.6633236,12.6102094,"['school', 'point_of_interest', 'establishment']"
Ole Folmer Hansen ApS,55.6604238,12.6073218,"['point_of_interest', 'establishment']"
Kbh-maling.dk,55.662423,12.610875,"['painter', 'point_of_interest', 'establishment']"
Sundby Sogns Menighedspleje,55.6612077,12.6053071,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Cph Repair,55.661125,12.61066,"['point_of_interest', 'establishment']"
Makeup By Malmros,55.6602195,12.6085074,"['point_of_interest', 'establishment']"
S A B Abildgaarden,55.662118,12.6114621,"['real_estate_agency', 'point_of_interest', 'establishment']"
E.ON elbil ladestander,55.6606383,12.6058752,"['point_of_interest', 'establishment']"
Jette Bastian,55.66323149999999,12.6105528,"['point_of_interest', 'establishment']"
Advokathuset Carin Juul Genfer,55.6611947,12.6047497,"['lawyer', 'point_of_interest', 'establishment']"
Bycyklen Docking Station - Frankrigsgade,55.6606721,12.6054792,"['point_of_interest', 'establishment']"
Sticks'n'Sushi,55.6905288,12.5756153,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Byman Sport,55.6917023,12.5766443,"['bicycle_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
A/B Lundsgade 10/Upsalagade 10,55.69162350000001,12.5780704,"['point_of_interest', 'establishment']"
Capoeiraskolen Senzala,55.69257,12.577536,"['point_of_interest', 'establishment']"
Mortensen Lars,55.691663,12.574094,"['point_of_interest', 'establishment']"
Preben Kirkegaard,55.693648,12.577887,"['health', 'point_of_interest', 'establishment']"
Bondo Svane Lars,55.6934303,12.5769138,"['point_of_interest', 'establishment']"
Marburger Human Value v/Iben Juul,55.69372600000001,12.576718,"['point_of_interest', 'establishment']"
Steffensen Kommunikation v/Palle Steffensen,55.69373400000001,12.5761299,"['point_of_interest', 'establishment']"
Psykologisk Praksis v/Susanne Kalstrup,55.693706,12.576796,"['health', 'point_of_interest', 'establishment']"
Gunver Hansen Tegnestue,55.693217,12.576421,"['point_of_interest', 'establishment']"
Lippmann Puk,55.693481,12.576202,"['point_of_interest', 'establishment']"
I am Pelle,55.69158100000001,12.5759745,"['point_of_interest', 'establishment']"
Va-Erhvervscoaching,55.6929166,12.575384,"['point_of_interest', 'establishment']"
Fossprojects v/Kristine Foss,55.6929238,12.5759812,"['point_of_interest', 'establishment']"
Réplique v/Jakob Hundborg,55.6929325,12.5765082,"['point_of_interest', 'establishment']"
BudtzBendix ApS,55.6930862,12.5766174,"['point_of_interest', 'establishment']"
Dins Grants,55.6922068,12.5766316,"['point_of_interest', 'establishment']"
Indre By,55.6800939,12.5800086,"['sublocality_level_2', 'sublocality', 'political']"
Klinkby Jørgen (Arkitekt),55.691908,12.574626,"['point_of_interest', 'establishment']"
Lederskabelse.DK,55.6918942,12.5751809,"['point_of_interest', 'establishment']"
Tj Marketing,55.693481,12.5768229,"['point_of_interest', 'establishment']"
Dansk-Kinesisk Forening,55.69394,12.57618,"['point_of_interest', 'establishment']"
Asboe Advokatfirma,55.691917,12.574021,"['point_of_interest', 'establishment']"
Barok Film A/S,55.693364,12.5771149,"['point_of_interest', 'establishment']"
Mads Trolle Copenhagen,55.691821,12.5758739,"['point_of_interest', 'establishment']"
Thomas Krag Mobility Advice,55.691723,12.575591,"['point_of_interest', 'establishment']"
Trier Arkitekter,55.6930777,12.5773367,"['point_of_interest', 'establishment']"
Forlaget Forlæns v/Torben Hansen,55.691414,12.575233,"['point_of_interest', 'establishment']"
Babyfilm ApS,55.691656,12.5766201,"['point_of_interest', 'establishment']"
Ryslinge Kommunes Boligselskab Afdeling 15,55.69164689999999,12.5769893,"['point_of_interest', 'establishment']"
Modusanitas,55.6916758,12.5769824,"['point_of_interest', 'establishment']"
Evaston ApS,55.69146629999999,12.5764758,"['point_of_interest', 'establishment']"
Timeregistrering.dk ApS,55.694376,12.5769369,"['point_of_interest', 'establishment']"
Praktiserende Landinspektør Jan Hübbe,55.6909506,12.5747657,"['point_of_interest', 'establishment']"
Ahm Production v/Jonas Ahm,55.69427,12.577197,"['point_of_interest', 'establishment']"
Barbarelle,55.69420299999999,12.577335,"['point_of_interest', 'establishment']"
Jens Lind,55.6912917,12.5739186,"['point_of_interest', 'establishment']"
Pernille Ringsing Aps,55.6939313,12.5779267,"['point_of_interest', 'establishment']"
Dr.Louise Gårdens Vuggestue 1,55.6917537,12.5773095,"['doctor', 'health', 'point_of_interest', 'establishment']"
Philip Ørneborg,55.6939313,12.5779267,"['point_of_interest', 'establishment']"
Fotograf Tim Bjørn Wahlfried,55.694154,12.577473,"['point_of_interest', 'establishment']"
Jerichau Fotografi ApS,55.6939313,12.5779267,"['point_of_interest', 'establishment']"
Folkedanserforeningen Fejltrin,55.693248,12.578201,"['point_of_interest', 'establishment']"
Emmerys,55.69119800000001,12.5757021,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']"
Kristine Høeg,55.691112,12.575412,"['point_of_interest', 'establishment']"
100 M Skoven,55.691992,12.577913,"['school', 'point_of_interest', 'establishment']"
Cyrk Productions ApS,55.69412,12.5721506,"['point_of_interest', 'establishment']"
Wednesday Architecture,55.69132399999999,12.576769,"['point_of_interest', 'establishment']"
Aglaia Klinikken,55.69390319999999,12.578081,"['beauty_salon', 'point_of_interest', 'establishment']"
Jewels and Art,55.69458520000001,12.5770566,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
Frans Bak Aps,55.69101300000001,12.575085,"['point_of_interest', 'establishment']"
T4C A / S Event & Travel Managemnet,55.6940868,12.5782603,"['point_of_interest', 'establishment']"
Hey Darling,55.6910522,12.5760966,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
Fotograf Eva-Lotta Persson,55.6945467,12.5725321,"['point_of_interest', 'establishment']"
Arnt Design v/Ole Arnt Thomsen,55.69385159999999,12.5716005,"['point_of_interest', 'establishment']"
Nye Veje,55.69468969999999,12.5725351,"['point_of_interest', 'establishment']"
B&W bodycare,55.694677,12.577712,"['point_of_interest', 'establishment']"
Anne Marie Ploug,55.69183999999999,12.578185,"['point_of_interest', 'establishment']"
Avenue Hotel Copenhagen,55.6847856,12.5526303,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Scarpetta,55.6854234,12.55239,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Nyu Sakura,55.684176,12.551469,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Fitness World,55.6830952,12.5524756,"['gym', 'health', 'point_of_interest', 'establishment']"
