,lat,lng
783,12.5562,55.6954
784,12.5564,55.6954
785,12.5571,55.6957
786,12.5573,55.6958
787,12.5574,55.6958
788,12.5575,55.6959
789,12.5579,55.696
790,12.5581,55.6961
791,12.5582,55.6961
792,12.5586,55.6962
793,12.5587,55.6963
794,12.5589,55.6963
795,12.5593,55.6965
796,12.5599,55.6966
797,12.56,55.6967
799,12.4934,55.6885
800,12.4933,55.6887
801,12.4931,55.6888
802,12.4929,55.689
803,12.4927,55.6892
804,12.4925,55.6893
805,12.4922,55.6895
807,12.5412,55.6662
810,12.5406,55.665
813,12.5405,55.6648
814,12.5402,55.6642
816,12.54,55.6638
817,12.4893,55.6881
818,12.4888,55.6882
821,12.4879,55.6884
822,12.4873,55.6885
825,12.4852,55.6888
827,12.4841,55.689
830,12.4834,55.6892
831,12.4831,55.6892
832,12.4827,55.6893
833,12.4824,55.6893
834,12.4821,55.6894
835,12.4819,55.6895
836,12.5904,55.6956
837,12.5903,55.6957
838,12.59,55.6957
839,12.5895,55.6959
840,12.5893,55.696
841,12.5793,55.6982
842,12.5803,55.6984
843,12.5809,55.6986
844,12.5738,55.6759
845,12.573,55.6756
846,12.572,55.6752
847,12.5718,55.6751
848,12.5848,55.6797
849,12.5845,55.6797
850,12.5844,55.6796
851,12.5842,55.6796
852,12.5838,55.6795
853,12.5834,55.6795
854,12.5833,55.6794
855,12.583,55.6794
856,12.5829,55.6793
857,12.5828,55.6793
859,12.5827,55.6793
861,12.5826,55.6793
863,12.5822,55.6792
866,12.4904,55.6923
867,12.4899,55.6922
868,12.4897,55.6922
870,12.4896,55.6922
873,12.4884,55.692
874,12.4875,55.6918
875,12.6018,55.6641
876,12.602,55.6638
877,12.6024,55.6636
878,12.6013,55.6648
881,12.6015,55.6645
882,12.6017,55.6642
883,12.4897,55.688
884,12.4897,55.6881
887,12.4892,55.6887
889,12.4892,55.6888
890,12.4889,55.6893
891,12.4888,55.6893
892,12.4882,55.6903
893,12.4881,55.6905
894,12.488,55.6905
895,12.4879,55.6908
896,12.4873,55.6917
898,12.4868,55.6923
900,12.5498,55.6877
901,12.5495,55.6875
905,12.5494,55.6873
907,12.5493,55.6873
908,12.5489,55.6869
910,12.5488,55.6868
912,12.5489,55.6867
913,12.5488,55.6865
917,12.4986,55.6871
918,12.4982,55.6869
919,12.4977,55.687
920,12.4973,55.687
921,12.497,55.6871
922,12.4968,55.6871
923,12.4965,55.6872
924,12.4962,55.6872
925,12.4959,55.6873
926,12.4957,55.6873
927,12.4954,55.6874
928,12.4952,55.6874
929,12.4949,55.6875
930,12.4949,55.6877
931,12.495,55.6879
932,12.495,55.688
934,12.554,55.6693
935,12.5541,55.6691
936,12.5543,55.6687
937,12.5544,55.6685
938,12.5545,55.6681
939,12.5546,55.6678
941,12.5969,55.6953
942,12.5975,55.6976
943,12.5811,55.6786
945,12.5808,55.6785
946,12.5806,55.6785
947,12.5801,55.6783
948,12.4914,55.6933
949,12.491,55.6933
951,12.4902,55.6931
952,12.4894,55.693
954,12.4891,55.6929
955,12.4879,55.6927
956,12.4877,55.6927
958,12.4868,55.6925
960,12.4866,55.6924
961,12.4859,55.6923
963,12.4858,55.6922
964,12.4856,55.6922
966,12.485,55.6921
968,12.4849,55.692
969,12.4846,55.692
